date,startup_name,industry,sub_vertical,city,investors,investment_type,amount_usd,year,month
2020-01-09,BYJUâS,E-Tech,E-learning,Bengaluru,Tiger Global Management,Private Equity,200000000.0,2020.0,1.0
2020-01-13,Shuttl,Transportation,App based shuttle service,Gurugram,Susquehanna Growth Equity,Series C,8048394.0,2020.0,1.0
2020-01-09,Mamaearth,E-commerce,Retailer of baby and toddler products,Bengaluru,Sequoia Capital India,Series B,18358860.0,2020.0,1.0
2020-01-02,https://www.wealthbucket.in/,FinTech,Online Investment,Delhi,Vinod Khatumal,Pre-Series A,3000000.0,2020.0,1.0
2020-01-02,Fashor,Fashion and Apparel,Embroiled Clothes For Women,Mumbai,Sprout Venture Partners,Seed,1800000.0,2020.0,1.0
2020-01-13,Pando,Logistics,"Open-market, freight management platform",Chennai,Chiratae Ventures,Series A,9000000.0,2020.0,1.0
2020-01-10,Zomato,Hospitality,Online Food Delivery Platform,Gurugram,Ant Financial,Private Equity,150000000.0,2020.0,1.0
2019-12-12,Ecozen,Technology,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,6000000.0,2019.0,12.0
2019-12-06,CarDekho,E-Commerce,Automobile,Gurugram,Ping An Global Voyager Fund,Series D,70000000.0,2019.0,12.0
2019-12-03,Dhruva Space,Aerospace,Satellite Communication,Bengaluru,"Mumbai Angels, Ravikanth Reddy",Seed,50000000.0,2019.0,12.0
2019-12-13,Rivigo,Technology,Logistics Services and Solutions,Gurugram,"SAIF Partners, Spring Canter Investment Ltd.",Series D+,20000000.0,2019.0,12.0
2019-12-17,Healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bengaluru,"Paytm, NPTK, Sabre Partners and Neoplux",Series C,12000000.0,2019.0,12.0
2019-12-16,Licious,E-Commerce,Online Meat And Seafood Ordering Startup,Bengaluru,Vertex Growth Fund,Series D+,30000000.0,2019.0,12.0
2019-12-16,InCred,Finance,Non-Banking Financial Company,Mumbai,Unknown,Debt,5900000.0,2019.0,12.0
2019-12-14,Trell,Video,Experience Discovery Platform,Bengaluru,Ruizheng Investment,Seed,2000000.0,2019.0,12.0
2019-12-11,Rein Games,Gaming,Real money based gaming startup,Noida,Manipal Education and Medical Group (MEMG),Seed,50000000.0,2019.0,12.0
2019-12-20,Lenskart.com,E-Commerce,Online Eyewear Shopping Portal,Faridabad,SoftBank Vision Fund,Series G,231000000.0,2019.0,12.0
2019-11-13,Freshworks,Software,Business and customer engagement tools,San Francisco,"Sequoia, CapitalG, Accel",Series D+,150000000.0,2019.0,11.0
2019-11-14,Misters,Health and wellness,Men's Health and Wellness brand,Gurugram,"Sauce.vc, Rainforest Ventures",Series B,486000.0,2019.0,11.0
2019-11-13,Sunstone Eduversity Pvt. Ltd,Education,Elearning,Gurugram,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",Seed,1500000.0,2019.0,11.0
2019-11-18,Healthians,Health and Wellness,Healthcare services,Gurugram,"DG Daiwa Ventures, DG Incubation",Series B,12000000.0,2019.0,11.0
2019-11-15,Ninjacart,B2B Marketing,Agritech,Bengaluru,Trifecta Capital Advisors,Debt,26000000.0,2019.0,11.0
2019-11-20,Aye Finance,FinTech,Financial Services To MSMEs,Gurugram,FinTech,Debt,17411265.0,2019.0,11.0
2019-11-12,SuperGaming,Video Games,Social gaming platform,Pune,Dream Incubator,Seed,1300000.0,2019.0,11.0
2019-11-20,Clumio,SaaS,Recovery software,"San Jose,","Altimeter Capital, Sutter Hill Ventures",Series C,135000000.0,2019.0,11.0
2019-11-11,eBikeGo,Last Mile Transportation,Electric bike rental,Amritsar,Startup Buddy,Seed,300000.0,2019.0,11.0
2019-11-19,Digital Mall Asia,E-Commerce,Virtual e-commerce platform,Delhi,Amour Infrastructure,Seed,220000000.0,2019.0,11.0
2019-11-18,Medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",Series B,15800000.0,2019.0,11.0
2019-11-15,Vogo Automotive,Last Mile Transportation,Scooter sharing app,Kormangala,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",Series B,283000000.0,2019.0,11.0
2019-11-19,Furtados School of Music,Education,Music Education,Tulangan,IAN Fund and DSG Consumer Partners,Unknown,200000000.0,2019.0,11.0
2019-11-25,Paytm,FinTech,Mobile Wallet,Noida,Vijay Shekhar Sharma,Venture,1000000000.0,2019.0,11.0
2019-10-04,Dunzo,Customer Service,Delivery Service,Bengaluru,Lightbox,Series D,45000000.0,2019.0,10.0
2019-10-02,Udaan,B2B,Business development,Bengaluru,"Altimeter Capital, DST Global",Series D,585000000.0,2019.0,10.0
2019-09-05,FPL Technologies,FinTech,Financial Services,Pune,"Matrix Partners India, Sequoia India",Venture,4500000.0,2019.0,9.0
2019-09-04,Cashflo,FinTech,Invoice discounting platform and SME lending marketplace,Mumbai,SAIF Partners,Series A,3300000.0,2019.0,9.0
2019-09-04,Digital F5,"Advertising, Marketing",Digital marketing firm,Mumbai,TIW Private Equity,Private Equity,6000000.0,2019.0,9.0
2019-09-04,3rdFlix,SaaS,Education Technology,Hyderabad,Exfinity Venture Partners,Pre-Series A,5000000.0,2019.0,9.0
2019-09-04,75F,IoT,Building automation system,Burnsville,Breakthrough Energy Ventures,Series A,18000000.0,2019.0,9.0
2019-09-04,Myelin Foundry,Information Technology,Deep-technology,Bengaluru,Endiya Partners,Seed,1000000.0,2019.0,9.0
2019-09-04,Atomberg Technology,Consumer Technology,"Consumer Electronics, Home Appliances",Mumbai,A91 Partners,Series A,10000000.0,2019.0,9.0
2019-09-04,GOQii,Health and Wellness,Wearable Fitness Bands,Menlo Park,Bennett Coleman and Company Ltd (BCCL),Series C,450000000.0,2019.0,9.0
2019-09-03,Vyapar App,Accounting,Mobile-based Accounting Software,Bengaluru,"India Quotient, Axilor Ventures",Series A,5000000.0,2019.0,9.0
2019-08-01,CarDekho,E-Commerce,Automotive,Gurugram,SC GG India Mobility Holdings LLC,Series C,20000000.0,2019.0,8.0
2019-08-01,Progcap,Finance,Supply Chain Management,Delhi,Sequoia India,Series A,5000000.0,2019.0,8.0
